Income,Expenses,Age,RiskTolerance,SIP,FD,Stocks
141958,20795,48,3,36348.90000000001,38772.16,46041.93999999999
139879,81820,58,2,14514.75,22062.420000000002,21481.829999999998
495602,92498,43,5,161241.6,80620.8,161241.59999999998
195203,21023,22,5,69672.0,34836.0,69672.0
282913,64735,63,2,54544.5,82907.64,80725.86
287455,108355,40,1,35820.0,78804.0,64476.0
204779,90305,41,5,45789.600000000006,22894.800000000003,45789.59999999999
278795,135608,46,3,42956.100000000006,45819.840000000004,54411.05999999999
366622,154503,47,4,74241.65,55150.94,82726.41
143855,64150,66,3,23911.500000000004,25505.600000000002,30287.899999999998
87435,61886,22,5,10219.6,5109.8,10219.599999999999
23890,13838,40,1,2010.4,4422.88,3618.7200000000003
493254,354457,23,1,27759.4,61070.68,49966.920000000006
259931,179073,28,2,20214.5,30726.04,29917.46
88148,61193,39,4,9434.25,7008.3,10512.45
402318,159555,26,4,84967.04999999999,63118.380000000005,94677.57
276508,22159,66,3,76304.70000000001,81391.68000000001,96652.61999999998
100077,40920,55,2,14789.25,22479.66,21888.09
220551,24457,25,2,49023.5,74515.72,72554.78
335139,176829,48,2,39577.5,60157.8,58574.7
485625,207283,53,2,69585.5,105769.96,102986.54
243165,104299,33,4,48603.1,36105.16,54157.73999999999
283160,225861,59,5,22919.600000000002,11459.800000000001,22919.59999999999
43247,29300,37,5,5578.8,2789.4,5578.800000000001
368951,279329,44,4,31367.699999999997,23301.72,34952.58
452315,241584,48,5,84292.40000000001,42146.200000000004,84292.4
396896,53984,26,1,68582.40000000001,150881.28,123448.31999999998
140151,67592,63,3,21767.700000000004,23218.88,27572.419999999995
321648,169231,54,3,45725.100000000006,48773.44,57918.45999999999
149312,17666,24,2,32911.5,50025.48,48709.02
308998,69505,60,4,83822.54999999999,62268.18,93402.27000000002
304806,13392,27,4,101994.9,75767.64,113651.46
395713,302366,43,5,37338.8,18669.4,37338.799999999996
497867,278109,46,3,65927.40000000001,70322.56,83508.03999999998
221664,118252,66,3,31023.600000000006,33091.840000000004,39296.55999999999
204064,103806,33,3,30077.400000000005,32082.56,38098.03999999999
139176,5206,34,2,33492.5,50908.6,49568.9
142409,28419,32,3,34197.00000000001,36476.8,43316.2
265310,55015,58,1,42059.0,92529.8,75706.2
127059,59268,51,4,23726.85,17625.66,26438.49
431357,216428,42,5,85971.6,42985.8,85971.59999999999
218286,169899,32,3,14516.100000000002,15483.84,18387.059999999994
375570,48585,61,5,130794.0,65397.0,130794.0
455773,114556,25,4,119425.95,88716.42,133074.63
377403,248307,63,4,45183.6,33564.96,50347.439999999995
462141,157906,47,1,60847.0,133863.4,109524.6
64262,28776,20,1,7097.200000000001,15613.84,12774.96
480058,142848,32,1,67442.0,148372.4,121395.6
422690,26959,46,1,79146.20000000001,174121.64,142463.15999999997
401245,270892,52,3,39105.90000000001,41712.96,49534.13999999999
33545,5663,34,3,8364.6,8922.24,10595.160000000002
375701,66087,51,1,61922.8,136230.16,111461.04000000001
138451,59384,68,2,19766.75,30045.46,29254.79
213075,57733,58,2,38835.5,59029.96,57476.54
436880,72172,68,1,72941.6,160471.52,131294.88000000003
266458,31736,21,2,58680.5,89194.36,86847.14
132859,5854,56,1,25401.0,55882.2,45721.8
337824,262426,21,5,30159.2,15079.6,30159.200000000004
333003,130657,51,4,70821.09999999999,52609.96,78914.94000000003
203734,103506,36,5,40091.200000000004,20045.600000000002,40091.2
465299,111081,25,3,106265.40000000001,113349.76000000001,134602.83999999997
130078,85623,35,1,8891.0,19560.2,16003.8
375528,91202,25,5,113730.40000000001,56865.200000000004,113730.39999999997
374050,138883,55,3,70550.1,75253.44,89363.45999999999
406393,39754,38,4,128323.65,95326.14,142989.21000000002
153983,72270,60,1,16342.6,35953.72,29416.68
497095,76295,58,2,105200.0,159904.0,155696.0
293255,42504,30,4,87762.84999999999,65195.26,97792.89000000001
486872,306528,69,2,45086.0,68530.72,66727.28
50306,21646,35,2,7165.0,10890.8,10604.2
127512,21371,68,2,26535.25,40333.58,39272.17
182688,108727,31,5,29584.4,14792.2,29584.399999999998
137796,34855,28,1,20588.2,45294.04,37058.76
400002,178714,67,3,66386.40000000001,70812.16,84089.43999999997
24499,11295,52,4,4621.4,3433.04,5149.56
163946,121336,27,4,14913.499999999998,11078.6,16617.9
204423,131063,44,3,22008.000000000004,23475.2,27876.8
153272,117476,37,2,8949.0,13602.48,13244.52
97505,7869,54,5,35854.4,17927.2,35854.399999999994
132296,99179,52,4,11590.949999999999,8610.42,12915.630000000003
305472,96412,67,4,73171.0,54355.6,81533.4
78871,27399,27,3,15441.600000000002,16471.04,19559.359999999993
106416,75271,52,4,10900.75,8097.700000000001,12146.55
127450,45818,41,5,32652.800000000003,16326.400000000001,32652.799999999996
225362,81213,27,3,43244.700000000004,46127.68,54776.61999999999
312890,54377,40,1,51702.600000000006,113745.72,93064.68
453006,141672,24,4,108966.9,80946.84,121420.26000000001
191836,50714,23,3,42336.600000000006,45159.04,53626.35999999999
391760,110983,36,4,98271.95,73002.02,109503.02999999998
144123,23589,48,5,48213.600000000006,24106.800000000003,48213.59999999999
325669,183274,60,5,56958.0,28479.0,56958.0
431927,270564,68,5,64545.200000000004,32272.600000000002,64545.19999999998
135294,71235,52,4,22420.649999999998,16655.34,24983.010000000006
85726,15492,40,1,14046.800000000001,30902.96,25284.239999999998
138015,90314,37,1,9540.2,20988.44,17172.360000000004
183817,108746,59,2,18767.75,28526.98,27776.27
92991,9014,41,2,20994.25,31911.260000000002,31071.489999999998
76958,21538,61,2,13855.0,21059.6,20505.4
196089,110864,62,5,34090.0,17045.0,34090.0
25801,7806,45,3,5398.500000000001,5758.400000000001,6838.099999999999
464209,34592,43,5,171846.80000000002,85923.40000000001,171846.8
239963,115627,64,4,43517.6,32327.36,48491.03999999999
284512,82575,65,4,70677.95,52503.62,78755.43
107922,60766,34,4,16504.6,12260.560000000001,18390.84
52097,18121,51,3,10192.800000000001,10872.32,12910.879999999997
113848,57921,41,2,13981.75,21252.260000000002,20692.989999999998
247897,192733,68,4,19307.399999999998,14342.640000000001,21513.960000000006
90313,58006,62,4,11307.449999999999,8399.82,12599.730000000003
133632,85135,63,4,16973.95,12609.220000000001,18913.829999999998
396836,92235,25,5,121840.40000000001,60920.200000000004,121840.39999999997
209407,78523,35,5,52353.600000000006,26176.800000000003,52353.59999999999
253841,22019,61,3,69546.6,74183.04000000001,88092.35999999999
106672,78847,38,4,9738.75,7234.5,10851.75
123481,30945,56,2,23134.0,35163.68,34238.32
28308,10949,42,1,3471.8,7637.96,6249.240000000001
120235,79740,20,2,10123.75,15388.1,14983.15
245913,21896,66,2,56004.25,85126.46,82886.29
197247,143877,67,1,10674.0,23482.8,19213.2
196615,119548,20,5,30826.800000000003,15413.400000000001,30826.799999999996
466438,34375,24,5,172825.2,86412.6,172825.19999999998
210710,72215,56,1,27699.0,60937.8,49858.2
375612,14435,24,1,72235.40000000001,158917.88,130023.71999999997
71293,35445,24,4,12546.8,9320.48,13980.720000000001
326063,244833,45,5,32492.0,16246.0,32492.0
376902,64101,56,2,78200.25,118864.38,115736.37
43049,19069,24,4,8393.0,6234.8,9352.2
88385,45158,29,2,10806.75,16426.26,15993.990000000002
392370,276967,20,5,46161.200000000004,23080.600000000002,46161.19999999998
36364,9611,35,2,6688.25,10166.14,9898.61
114704,54115,51,3,18176.700000000004,19388.48,23023.819999999996
217459,154143,31,2,15829.0,24060.08,23426.92
31938,7427,52,1,4902.2,10784.84,8823.96
221660,106042,62,5,46247.200000000004,23123.600000000002,46247.19999999998
385835,43304,59,2,85632.75,130161.78,126736.47
102986,25764,32,4,27027.699999999997,20077.72,30116.58
320638,8373,21,5,124906.0,62453.0,124906.0
374802,105386,42,1,53883.200000000004,118543.04,96989.76
376441,30351,48,2,86522.5,131514.2,128053.29999999999
428521,342497,53,3,25807.200000000004,27527.68,32689.119999999995
302502,8267,69,5,117694.0,58847.0,117694.0
31338,5412,55,1,5185.200000000001,11407.44,9333.359999999999
80692,28548,55,2,13036.0,19814.72,19293.28
58756,23888,43,3,10460.400000000001,11157.76,13249.839999999998
134352,88042,67,4,16208.499999999998,12040.6,18060.9
319985,75640,58,5,97738.0,48869.0,97738.0
326955,172280,32,1,30935.0,68057.0,55683.0
350594,191141,36,1,31890.600000000002,70159.32,57403.07999999999
34397,13787,67,1,4122.0,9068.4,7419.6
463733,124180,38,1,67910.6,149403.32,122239.08000000002
99459,21779,60,3,23304.000000000004,24857.600000000002,29518.399999999998
450155,205968,26,4,85465.45,63488.62,95232.93
495853,56934,38,2,109729.75,166789.22,162400.03
25486,13335,24,3,3645.3000000000006,3888.32,4617.379999999999
122795,94112,40,4,10039.05,7457.58,11186.37
138324,65566,35,1,14551.6,32013.52,26192.88
283206,89076,61,2,48532.5,73769.4,71828.1
293318,93461,50,2,49964.25,75945.66,73947.09
29348,10334,48,3,5704.200000000001,6084.4800000000005,7225.319999999999
109930,11801,66,4,34345.15,25513.54,38270.31
199208,6542,65,5,77066.40000000001,38533.200000000004,77066.4
201415,44081,28,2,39333.5,59786.92,58213.58
239930,24065,21,5,86346.0,43173.0,86346.0
108092,59693,38,5,19359.600000000002,9679.800000000001,19359.6
177504,137396,23,4,14037.8,10428.08,15642.12
186981,24870,38,5,64844.4,32422.2,64844.40000000001
268683,31790,46,2,59223.25,90019.34,87650.41
468345,229786,58,3,71567.70000000001,76338.88,90652.41999999998
106188,9748,69,4,33754.0,25074.4,37611.6
285853,128961,39,4,54912.2,40791.92,61187.880000000005
471015,161542,60,1,61894.600000000006,136168.12,111410.28
59298,19683,68,1,7923.0,17430.6,14261.400000000001
315735,218920,57,5,38726.0,19363.0,38726.0
396965,303539,64,5,37370.4,18685.2,37370.399999999994
316764,239286,40,5,30991.2,15495.6,30991.200000000004
212714,26732,55,3,55794.600000000006,59514.24,70673.16
443570,280987,37,1,32516.600000000002,71536.52,58529.87999999999
72528,43413,34,1,5823.0,12810.6,10481.4
130133,73866,35,1,11253.400000000001,24757.48,20256.12
420330,16023,27,4,141507.44999999998,105119.82,157679.73000000004
306103,71203,27,2,58725.0,89262.0,86913.0
66427,41487,69,4,8729.0,6484.400000000001,9726.599999999999
440571,132016,55,3,92566.50000000001,98737.6,117250.9
198677,126790,36,1,14377.400000000001,31630.28,25879.32
360896,171619,67,5,75710.8,37855.4,75710.79999999999
47532,10713,24,1,7363.8,16200.36,13254.84
149473,70545,49,2,19732.0,29992.64,29203.36
338714,231156,24,1,21511.600000000002,47325.52,38720.88
81813,32712,37,1,9820.2,21604.44,17676.360000000004
148778,67292,45,1,16297.2,35853.840000000004,29334.96
302453,11970,46,1,58096.600000000006,127812.52,104573.87999999999
328684,156456,53,1,34445.6,75780.32,62002.07999999999
125570,13702,20,5,44747.200000000004,22373.600000000002,44747.19999999998
454159,183998,25,4,94556.34999999999,70241.86,105362.79000000002
169456,65100,50,5,41742.4,20871.2,41742.399999999994
255365,85642,42,5,67889.2,33944.6,67889.20000000001
220244,15916,29,2,51082.0,77644.64,75601.36
204402,149528,40,1,10974.800000000001,24144.56,19754.639999999996
58765,39816,64,5,7579.6,3789.8,7579.599999999999
339235,26949,20,1,62457.200000000004,137405.84,112422.95999999999
196615,113319,53,4,29153.6,21656.96,32485.440000000002
158311,19489,53,3,41646.600000000006,44423.04,52752.35999999999
